t_name,max_participants,price,t_type,area,accessibility,t_level
City Pulse Walk,33,124,Hiking,Dublin Liberties,1,5
Urban Legends Tour,12,79,Sightseeing,Florence,0,1
The Concrete Jungle,42,32,Sightseeing,Florence,0,2
Skyline Spectacle,34,187,Hiking,Florence,0,2
Metro Magic,49,154,Hiking,Munich Old Town,1,1
Hidden Alleys,36,34,Hiking,Amalfi Coast,1,5
Downtown Discovery,35,218,Sightseeing,Machu Picchu,0,1
The Grand Boulevard,20,83,Sightseeing,Patagonia,0,3
City Lights & Nights,10,105,Hiking,London South Bank,1,5
Street Smart Saunter,17,9,Hiking,London South Bank,1,2
Pavement Perspectives,20,153,Sightseeing,Dubai Marina,0,3
The Landmark Loop,24,159,Sightseeing,Rome City Center,0,4
Central Circuit,12,209,Hiking,Cape Town Coast,0,3
Borough Best,12,207,Hiking,Old Town Prague,1,5
District Delights,30,160,Sightseeing,Scottish Highlands,1,4
Capital Chronicles,13,140,Sightseeing,Barcelona Las Ramblas,1,2
Metropolitan Mosaic,27,36,Hiking,Yosemite Valley,0,5
Sky-High Views,36,22,Hiking,Sydney Harbour,1,3
Main Street Memories,14,121,Sightseeing,Singapore Marina,0,5
The Vibrant Village,50,207,Sightseeing,Manhattan,0,5
Town Square Tales,45,125,Hiking,Edinburgh Royal Mile,1,1
Avenue Adventures,15,219,Hiking,Amalfi Coast,0,4
Modern Metropolis,22,205,Hiking,Tel Aviv Coastline,0,4
The City Soul,15,224,Hiking,Florence,1,2
Urban Oasis Hunt,17,183,Hiking,Central Park,0,4
Neighborhood Nuances,11,46,Hiking,Tel Aviv Coastline,0,5
The Daily Grind,36,70,Sightseeing,Grand Canyon,0,4
Sidewalk Stories,36,13,Hiking,Munich Old Town,0,5
Crosswalk Culture,45,106,Sightseeing,Madrid Center,1,4
Public Plaza Parade,13,181,Sightseeing,Petra,0,4
The Architectural Arc,46,111,Sightseeing,Singapore Marina,0,5
Skyline Shadows,15,19,Sightseeing,Hong Kong Island,0,3
Neon Nights,47,0,Hiking,Tokyo Shibuya,1,1
Brick & Mortar,47,184,Sightseeing,Bali Jungles,0,2
The City Core,49,12,Hiking,London South Bank,1,3
Waterfront Wonders,10,243,Sightseeing,Bali Jungles,0,4
Dockside Dreams,13,140,Hiking,London South Bank,1,3
Pier Perspectives,29,30,Sightseeing,Munich Old Town,0,3
Harbor Highlights,37,160,Sightseeing,Barcelona Gothic Quarter,0,2
Bridge & Tunnel,35,28,Sightseeing,Florence,1,1
The High-Rise Hike,22,133,Hiking,Scottish Highlands,0,5
Alleyway Aesthetics,32,89,Sightseeing,New Orleans,1,1
Subway Secrets,42,159,Sightseeing,Venice Canals,1,2
Transit Triumphs,37,8,Hiking,Swiss Alps,1,4
Park & Promenade,48,88,Sightseeing,Yosemite Valley,1,2
The Civic Center,12,48,Sightseeing,Petra,0,1
Cultural Quarter,27,154,Hiking,Cape Town Coast,1,5
Entertainment District,10,12,Sightseeing,Scottish Highlands,0,4
Financial Frontier,25,70,Sightseeing,San Francisco Bay,1,2
Old Town Origins,13,88,Hiking,Swiss Alps,1,5
Heritage Highlights,36,163,Hiking,Prague Castle District,0,3
Ancient Echoes,15,59,Hiking,Grand Canyon,0,3
Timeless Traditions,48,234,Sightseeing,Prague Castle District,1,2
The Legacy Path,34,105,Hiking,Yosemite Valley,1,5
Roots & Routes,40,197,Sightseeing,Tel Aviv Coastline,1,3
History Unveiled,49,163,Hiking,New Orleans,1,1
Past Perfect,30,130,Hiking,Grand Canyon,1,2
